model	simulation	study	group	subjects	observer	time	value	sigma	BW	PODOSE_apap	IVDOSE_apap	PODOSE_co2c13	IVDOSE_co2c13	Ri_co2c13	PODOSE_metc13	IVDOSE_metc13
limax_pkpd_v41	apap	Rawlins1977	ORAL_D1000	6	Mve_apap	0.0	0.306		75	1000.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	ORAL_D1000	6	Mve_apap	0.5	13.39	7.5328251749	75	1000.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	ORAL_D1000	6	Mve_apap	1.0	12.9026	7.9960065388	75	1000.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	ORAL_D1000	6	Mve_apap	2.0	8.0231	1.8017270793	75	1000.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	ORAL_D1000	6	Mve_apap	3.0	4.9887	1.1203074469	75	1000.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	ORAL_D1000	6	Mve_apap	4.0	3.9359	1.016405236	75	1000.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	ORAL_D1000	6	Mve_apap	5.0	2.8267	0.7299751326999999	75	1000.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	ORAL_D1000	6	Mve_apap	6.0	2.2162	0.46078723270000005	75	1000.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Albert1974	capsule	10	Mve_apap	0.1666666667	0.02	0.032	68	650.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Albert1974	capsule	10	Mve_apap	0.3333333333	1.73	2.3355	68	650.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Albert1974	capsule	10	Mve_apap	0.5	2.38	1.98492	68	650.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Albert1974	capsule	10	Mve_apap	0.6666666667	3.26	1.39202	68	650.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Albert1974	capsule	10	Mve_apap	1.0	4.82	1.18572	68	650.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Albert1974	capsule	10	Mve_apap	2.0	5.36	1.2328	68	650.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Albert1974	capsule	10	Mve_apap	4.0	3.13	0.4069	68	650.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Albert1974	capsule	10	Mve_apap	6.0	1.84	0.25392	68	650.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Albert1974	capsule	10	Mve_apap	8.0	1.22	0.26474000000000003	68	650.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Albert1974	capsule	10	Mve_apap	12.0	0.52	0.11752	68	650.0	0.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	IV_D1000	6	Mve_apap	0.25	19.861	4.9364297342	75	0.0	1000.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	IV_D1000	6	Mve_apap	0.5	13.8346	3.1236652542	75	0.0	1000.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	IV_D1000	6	Mve_apap	0.75	12.0803	3.2338188079	75	0.0	1000.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	IV_D1000	6	Mve_apap	1.0	11.2248	2.2965411538	75	0.0	1000.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	IV_D1000	6	Mve_apap	1.5	8.7049	2.3100035494	75	0.0	1000.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	IV_D1000	6	Mve_apap	2.0	7.6011	1.8818376413	75	0.0	1000.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	IV_D1000	6	Mve_apap	3.0	5.5395	1.911295205	75	0.0	1000.0	0.0	0.0	0.0	0.0	0.0
limax_pkpd_v41	apap	Rawlins1977	IV_D1000	6	Mve_apap	4.0	3.8369	1.2749545120999999	75	0.0	1000.0	0.0	0.0	0.0	0.0	0.0
