study	group	subjects	time	recovery	recovery_pm_se	recovery_se	recovery_sd
Kasicka-Jonderko2011	baseline2	12	0	0.00	-0.99	0.99	3.43
Kasicka-Jonderko2011	baseline2	12	3	4.48	3.35	1.13	3.92
Kasicka-Jonderko2011	baseline2	12	6	13.54	14.76	1.23	4.25
Kasicka-Jonderko2011	baseline2	12	9	25.85	28.73	2.88	9.97
Kasicka-Jonderko2011	baseline2	12	12	33.63	36.98	3.35	11.60
Kasicka-Jonderko2011	baseline2	12	15	35.05	37.97	2.92	10.13
Kasicka-Jonderko2011	baseline2	12	18	34.15	36.32	2.17	7.52
Kasicka-Jonderko2011	baseline2	12	21	32.64	34.34	1.70	5.88
Kasicka-Jonderko2011	baseline2	12	24	28.92	30.33	1.42	4.90
Kasicka-Jonderko2011	baseline2	12	27	27.55	28.73	1.18	4.09
Kasicka-Jonderko2011	baseline2	12	30	25.66	26.75	1.08	3.76
Kasicka-Jonderko2011	baseline2	12	40	20.99	21.75	0.75	2.61
Kasicka-Jonderko2011	baseline2	12	50	17.83	16.75	1.08	3.76
Kasicka-Jonderko2011	baseline2	12	60	16.08	16.60	0.52	1.80
Kasicka-Jonderko2011	baseline2	12	75	12.88	11.98	0.90	3.10
Kasicka-Jonderko2011	baseline2	12	90	10.85	10.33	0.52	1.80
Kasicka-Jonderko2011	baseline2	12	105	9.76	8.92	0.85	2.94
Kasicka-Jonderko2011	baseline2	12	120	8.40	7.64	0.75	2.61
Kasicka-Jonderko2011	baseline2	12	150	6.60	5.85	0.75	2.61
Kasicka-Jonderko2011	baseline2	12	180	5.05	4.06	0.99	3.43

