study	group	dose	subjects	time	recovery	recovery_pm_se	recovery_se	recovery_sd	cum	cum_pm_se	cum_se	cum_sd
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	0	0.00	0.58	0.58	1.64	0.00	0.41	0.41	1.16
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	3	4.11	3.58	0.53	1.49	0.00	0.53	0.53	1.49
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	6	12.02	14.50	2.48	7.01	0.58	1.05	0.47	1.33
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	9	21.04	24.63	3.59	10.15	1.29	1.64	0.35	0.99
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	12	28.42	32.43	4.01	11.34	2.46	3.10	0.64	1.82
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	15	33.06	37.28	4.22	11.94	4.10	4.74	0.64	1.82
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	18	34.11	38.07	3.96	11.19	5.68	6.68	1.00	2.82
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	21	33.16	36.32	3.17	8.95	7.50	8.43	0.94	2.65
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	24	31.26	34.10	2.85	8.06	9.02	10.25	1.23	3.48
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	27	30.46	32.62	2.16	6.12	10.54	11.60	1.06	2.98
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	30	28.51	30.14	1.64	4.63	12.12	13.18	1.06	2.98
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	40	23.48	25.49	2.00	5.67	16.34	17.63	1.29	3.65
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	50	19.20	20.09	0.90	2.54	19.97	21.20	1.23	3.48
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	60	16.55	17.44	0.90	2.54	22.90	24.19	1.29	3.65
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	75	13.73	14.42	0.69	1.94	26.70	27.99	1.29	3.65
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	90	11.55	12.08	0.53	1.49	29.98	31.10	1.11	3.15
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	105	10.69	11.27	0.58	1.64	32.79	34.02	1.23	3.48
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	120	9.46	9.78	0.32	0.90	35.31	36.60	1.29	3.65
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	150	7.42	7.74	0.32	0.90	39.58	40.92	1.35	3.81
Kasicka-Jonderko2011a	M_HBMI	BMAD	8	180	6.01	6.70	0.69	1.94	43.02	44.49	1.47	4.14

