study	group	dose	subjects	time	recovery	recovery_pm_se	recovery_se	recovery_sd	cum	cum_pm_se	cum_se	cum_sd
Kasicka-Jonderko2011a	M_HBMI	FX75	8	0	0.00	0.42	0.42	1.19	0.00	0.23	0.23	0.66
Kasicka-Jonderko2011a	M_HBMI	FX75	8	3	4.43	3.90	0.53	1.49	0.17	0.70	0.53	1.49
Kasicka-Jonderko2011a	M_HBMI	FX75	8	6	11.44	9.07	2.37	6.72	0.53	0.88	0.35	0.99
Kasicka-Jonderko2011a	M_HBMI	FX75	8	9	17.24	13.49	3.75	10.60	1.35	1.76	0.41	1.16
Kasicka-Jonderko2011a	M_HBMI	FX75	8	12	22.04	18.56	3.48	9.85	2.16	2.75	0.59	1.66
Kasicka-Jonderko2011a	M_HBMI	FX75	8	15	26.04	22.25	3.80	10.74	3.51	2.98	0.53	1.49
Kasicka-Jonderko2011a	M_HBMI	FX75	8	18	26.20	24.25	1.95	5.52	4.92	3.92	1.00	2.82
Kasicka-Jonderko2011a	M_HBMI	FX75	8	21	26.51	25.35	1.16	3.28	6.03	5.27	0.76	2.15
Kasicka-Jonderko2011a	M_HBMI	FX75	8	24	26.82	26.03	0.79	2.24	7.38	6.67	0.70	1.99
Kasicka-Jonderko2011a	M_HBMI	FX75	8	27	26.77	26.29	0.48	1.34	8.73	7.85	0.88	2.49
Kasicka-Jonderko2011a	M_HBMI	FX75	8	30	25.87	24.50	1.37	3.88	10.01	9.31	0.70	1.99
Kasicka-Jonderko2011a	M_HBMI	FX75	8	40	23.06	21.53	1.53	4.33	14.05	13.41	0.64	1.82
Kasicka-Jonderko2011a	M_HBMI	FX75	8	50	18.19	16.82	1.37	3.88	17.51	16.81	0.70	1.99
Kasicka-Jonderko2011a	M_HBMI	FX75	8	60	16.28	14.96	1.32	3.73	20.50	19.79	0.70	1.99
Kasicka-Jonderko2011a	M_HBMI	FX75	8	75	12.89	12.05	0.84	2.39	24.18	23.31	0.88	2.49
Kasicka-Jonderko2011a	M_HBMI	FX75	8	90	10.50	9.81	0.69	1.94	27.05	26.11	0.94	2.65
Kasicka-Jonderko2011a	M_HBMI	FX75	8	105	10.43	9.64	0.79	2.24	29.68	28.51	1.17	3.32
Kasicka-Jonderko2011a	M_HBMI	FX75	8	120	8.99	8.19	0.79	2.24	32.08	30.85	1.23	3.48
Kasicka-Jonderko2011a	M_HBMI	FX75	8	150	7.10	6.63	0.48	1.34	36.18	34.65	1.52	4.31
Kasicka-Jonderko2011a	M_HBMI	FX75	8	180	4.54	4.06	0.47	1.34	39.33	37.51	1.82	5.14

