study	intervention	subjects	time	recovery	recovery_pm_se	recovery_se	recovery_sd	cum	cum_pm_se	cum_se	cum_sd
Kasicka-Jonderko2008	young	12	0	0.00	0.32	0.32	1.11	0.00	0.25	0.25	0.88
Kasicka-Jonderko2008	young	12	3	4.11	4.54	0.43	1.47	0.21	0.47	0.25	0.88
Kasicka-Jonderko2008	young	12	6	15.07	16.70	1.63	5.65	0.63	0.93	0.30	1.03
Kasicka-Jonderko2008	young	12	9	22.73	20.14	2.59	8.97	1.52	1.90	0.38	1.32
Kasicka-Jonderko2008	young	12	12	29.93	26.63	3.30	11.42	2.84	3.13	0.30	1.03
Kasicka-Jonderko2008	young	12	15	33.02	30.18	2.84	9.83	4.44	3.94	0.51	1.76
Kasicka-Jonderko2008	young	12	18	32.56	30.29	2.27	7.86	6.14	5.42	0.72	2.49
Kasicka-Jonderko2008	young	12	21	29.61	27.95	1.67	5.77	7.83	6.82	1.02	3.52
Kasicka-Jonderko2008	young	12	24	29.26	28.05	1.21	4.18	9.19	8.34	0.85	2.93
Kasicka-Jonderko2008	young	12	27	27.84	26.78	1.06	3.69	10.58	9.65	0.93	3.23
Kasicka-Jonderko2008	young	12	30	25.75	24.79	0.96	3.32	11.81	11.05	0.76	2.64
Kasicka-Jonderko2008	young	12	40	21.25	20.43	0.82	2.83	15.71	14.99	0.72	2.49
Kasicka-Jonderko2008	young	12	50	18.09	17.42	0.67	2.33	19.05	18.25	0.80	2.79
Kasicka-Jonderko2008	young	12	60	15.65	15.05	0.60	2.09	21.93	21.00	0.93	3.23
Kasicka-Jonderko2008	young	12	75	12.78	12.32	0.46	1.60	25.40	24.60	0.80	2.79
Kasicka-Jonderko2008	young	12	90	10.83	10.44	0.39	1.35	28.32	27.52	0.80	2.79
Kasicka-Jonderko2008	young	12	105	9.45	9.03	0.43	1.47	30.82	29.97	0.85	2.93
Kasicka-Jonderko2008	young	12	120	8.29	7.83	0.46	1.60	33.02	32.13	0.89	3.08
Kasicka-Jonderko2008	young	12	150	6.59	6.24	0.35	1.23	36.79	35.81	0.97	3.37
Kasicka-Jonderko2008	young	12	180	5.50	5.14	0.35	1.23	39.75	38.73	1.02	3.52

