study	group	subjects	time	recovery	recovery_pm_se	recovery_se	recovery_sd
Kasicka-Jonderko2011	baseline1	12	0	0.00	0.23	0.23	0.80
Kasicka-Jonderko2011	baseline1	12	3	4.30	3.98	0.32	1.12
Kasicka-Jonderko2011	baseline1	12	6	12.31	13.47	1.16	4.01
Kasicka-Jonderko2011	baseline1	12	9	22.59	20.65	1.94	6.74
Kasicka-Jonderko2011	baseline1	12	12	28.93	26.57	2.36	8.18
Kasicka-Jonderko2011	baseline1	12	15	31.57	34.49	2.92	10.10
Kasicka-Jonderko2011	baseline1	12	18	31.52	33.98	2.45	8.50
Kasicka-Jonderko2011	baseline1	12	21	30.09	31.99	1.90	6.58
Kasicka-Jonderko2011	baseline1	12	24	27.86	29.44	1.57	5.45
Kasicka-Jonderko2011	baseline1	12	27	26.57	27.91	1.34	4.65
Kasicka-Jonderko2011	baseline1	12	30	24.85	23.74	1.11	3.85
Kasicka-Jonderko2011	baseline1	12	40	20.08	20.78	0.69	2.41
Kasicka-Jonderko2011	baseline1	12	50	17.63	17.21	0.42	1.44
Kasicka-Jonderko2011	baseline1	12	60	15.59	15.12	0.46	1.60
Kasicka-Jonderko2011	baseline1	12	75	12.62	12.30	0.32	1.12
Kasicka-Jonderko2011	baseline1	12	90	10.58	11.13	0.56	1.92
Kasicka-Jonderko2011	baseline1	12	105	9.74	9.51	0.23	0.80
Kasicka-Jonderko2011	baseline1	12	120	8.30	7.98	0.32	1.12
Kasicka-Jonderko2011	baseline1	12	150	6.77	6.44	0.32	1.12
Kasicka-Jonderko2011	baseline1	12	180	5.37	5.65	0.28	0.96

