study	group	dose	subjects	time	recovery	recovery_pm_se	recovery_se	recovery_sd	cum	cum_pm_se	cum_se	cum_sd
Kasicka-Jonderko2011a	F_LBMI	FX75	8	0	0.00	0.26	0.26	0.75	0.00	0.24	0.24	0.67
Kasicka-Jonderko2011a	F_LBMI	FX75	8	3	4.55	4.08	0.48	1.35	0.17	0.35	0.18	0.50
Kasicka-Jonderko2011a	F_LBMI	FX75	8	6	11.86	14.30	2.44	6.89	0.59	0.82	0.24	0.67
Kasicka-Jonderko2011a	F_LBMI	FX75	8	9	20.44	23.88	3.44	9.73	1.17	1.77	0.59	1.67
Kasicka-Jonderko2011a	F_LBMI	FX75	8	12	26.79	30.55	3.76	10.63	2.47	3.00	0.53	1.50
Kasicka-Jonderko2011a	F_LBMI	FX75	8	15	29.92	33.36	3.44	9.73	3.89	4.54	0.65	1.84
Kasicka-Jonderko2011a	F_LBMI	FX75	8	18	33.25	37.22	3.97	11.23	5.54	6.19	0.65	1.84
Kasicka-Jonderko2011a	F_LBMI	FX75	8	21	33.31	37.33	4.02	11.38	7.13	8.07	0.94	2.67
Kasicka-Jonderko2011a	F_LBMI	FX75	8	24	33.47	36.91	3.44	9.73	8.84	9.84	1.00	2.84
Kasicka-Jonderko2011a	F_LBMI	FX75	8	27	31.72	34.84	3.12	8.83	10.43	12.08	1.65	4.67
Kasicka-Jonderko2011a	F_LBMI	FX75	8	30	30.08	33.20	3.12	8.83	12.02	13.85	1.83	5.18
Kasicka-Jonderko2011a	F_LBMI	FX75	8	40	24.36	26.59	2.22	6.29	16.56	17.57	1.00	2.84
Kasicka-Jonderko2011a	F_LBMI	FX75	8	50	21.03	22.83	1.80	5.09	20.33	19.80	0.53	1.50
Kasicka-Jonderko2011a	F_LBMI	FX75	8	60	17.81	19.34	1.54	4.34	23.57	25.46	1.89	5.34
Kasicka-Jonderko2011a	F_LBMI	FX75	8	75	14.42	15.32	0.90	2.55	27.58	30.00	2.42	6.85
Kasicka-Jonderko2011a	F_LBMI	FX75	8	90	12.36	13.21	0.85	2.40	30.81	33.41	2.60	7.35
Kasicka-Jonderko2011a	F_LBMI	FX75	8	105	10.62	11.25	0.64	1.80	33.70	36.53	2.83	8.01
Kasicka-Jonderko2011a	F_LBMI	FX75	8	120	9.09	9.72	0.64	1.80	36.28	39.06	2.77	7.85
Kasicka-Jonderko2011a	F_LBMI	FX75	8	150	7.35	7.88	0.53	1.50	40.34	43.17	2.83	8.01
Kasicka-Jonderko2011a	F_LBMI	FX75	8	180	5.88	6.62	0.74	2.10	43.62	46.64	3.01	8.52

